Code,Item Code,Drink_Name,Size,Age,Proof,Unit_Price,Case_Price,
@ 9078E,99900907837,10 BARREL BLOOD ORANGE VODKA SODA (4-PK,375 ML,,14,9.95,59.70,
,@ 5612E  99900561237,10 BARREL BLOODY MARY - (4-PK CANS),375 ML,,20,13.95,83.70,
,@ 9442E  99900944237,10 BARREL COCKTAIL VARIETY 8-PK CANS,375 ML,,9,19.95,59.85,
,@ 6601E  99900660137,10 BARREL GIN AND TONIC 4-PACK CANS,375 ML,,22,13.95,83.70,
,@ 5613E  99900561337,10 BARREL GREY HOUND (4-PK CANS),375 ML,,24,13.95,83.70,
@ 9077E,99900907737,10 BARREL LEMONGRASS LIME VODKA SODA (4-PK,375 ML,,14,9.95,59.70,
,@ 9076E  99900907637,10 BARREL LONG DRINK (4-PK CANS),375 ML,,12,13.95,83.70,
,@ 10207E 99901020737,10 BARREL MAI TAI 4-CANS,375 ML,,13,13.95,83.70,
,@ 8299E  99900829937,10 BARREL MARGARITA - CLASSIC (4-PK CANS),375 ML,,18,13.95,83.70,
,@ 5611E  99900561137,10 BARREL MOSCOW MULE (4-PK CANS),375 ML,,22,13.95,83.70,
,@ 10154B 99901015475,135 EAST HYOGO JAPANESE DRY GIN,750 ML,,84,29.95,179.70,
3888B,99900388875,1792 FULL PROOF BOURBON,750 ML,8 YRS,125,49.95,299.70,
3884B,99900388475,1792 SINGLE BARREL BOURBON,750 ML,8 YRS,99,44.95,269.70,
6219B,99900621975,1792 SMALL BATCH 8 YR,750 ML,8 YRS,94,29.95,179.70,
0882B,99900088275,1800 ANEJO,750 ML,,80,34.95,209.70,
@ 9503H,99900950317,1800 BLACK CHERRY ULTIMATE MARGARITA,1.75 L,,20,20.95,125.70,
1047B,99900104775,1800 COCONUT TEQUILA,750 ML,,70,26.95,323.40,
@ 8502B,99900850275,1800 CRISTALINO,750 ML,,80,59.95,359.70,
2905H,99900290517,1800 PEACH RTD,1.75 L,,20,19.95,119.70,
0924B,99900092475,1800 REPOSADO TEQUILA,750 ML,,80,26.95,323.40,
0924E,99900092437,1800 REPOSADO TEQUILA,375 ML,,80,15.45,185.40,
0924H,99900092417,1800 REPOSADO TEQUILA,1.75 L,,80,44.95,269.70,
$ 1139B,99900113975,1800 REPOSADO W/ SERVING BOWLS,750 ML,,80,26.95,161.70,
6194B,99900619475,1800 SILVER,750 ML,,80,26.95,323.40,
6194H,99900619417,1800 SILVER,1.75 L,,80,44.95,269.70,
@ 6194E,99900619437,1800 SILVER,375 ML,,80,15.45,185.40,
$ 3302B,99900330275,1800 SILVER W/TACO HOLDER,750 ML,,80,26.95,161.70,
@ 4287H,99900428717,1800 SPICY ULTIMATE MARGARITA,1.75 L,,20,19.95,119.70,
